Stkcd,Stknme,Listdt,Conme,Conme_en,Nnindcd,Nnindnme,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Markettype
688273,麦澜德,8/11/2022,南京麦澜德医疗科技股份有限公司,"Nanjing Medlander Medical Technology Corp., Ltd.",C35,专用设备制造业,江苏省,320000,南京市,320100,私营企业,P0306,32
688275,万润新能,9/29/2022,湖北万润新能源科技股份有限公司,"Hubei Wanrun New Energy Technology Co., Ltd.",C26,化学原料及化学制品制造业,湖北省,420000,十堰市,420300,私营企业,P0306,32
688276,百克生物,6/25/2021,长春百克生物科技股份公司,Changchun BCHT Biotechnology Co.,C27,医药制造业,吉林省,220000,长春市,220100,国营或国有控股,P0301,32
688277,天智航,7/7/2020,北京天智航医疗科技股份有限公司,"Tinavi Medical Technologies Co., Ltd.",C35,专用设备制造业,北京市,110000,北京市,110000,私营企业,P0306,32
688278,特宝生物,1/17/2020,厦门特宝生物工程股份有限公司,"Xiamen Amoytop Biotech Co., Ltd.",C27,医药制造业,福建省,350000,厦门市,350200,私营企业,P0306,32
688279,峰岹科技,4/20/2022,峰岹科技(深圳)股份有限公司,"Fortior Technology (Shenzhen) Co., Ltd.",I65,软件和信息技术服务业,广东省,440000,深圳市,440300,中外合资,P0303,32
688280,精进电动,10/27/2021,精进电动科技股份有限公司,"Jingjin Electric Technology Co., Ltd.",C36,汽车制造业,北京市,110000,北京市,110000,中外合资,P0303,32
688281,华秦科技,3/7/2022,陕西华秦科技实业股份有限公司,"Shaanxi Huaqin Technology Industry Co., Ltd.",C41,其他制造业,陕西省,610000,西安市,610100,私营企业,P0306,32
688282,*ST 导航,3/18/2022,北京理工导航控制科技股份有限公司,"Beijing Navigation Control Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,北京市,110000,北京市,110000,私营企业,P0306,32
688283,坤恒顺维,2/15/2022,成都坤恒顺维科技股份有限公司,"Chengdu KSW Technologies Co., Ltd.",C40,仪器仪表制造业,四川省,510000,成都市,510100,私营企业,P0306,32
