Stkcd,Trdynt,Yclsprc,Ynvaltrd,Ysmvosd,Ndaytrd,Yretwd
19,2001,11.12,1423932338,444227.06,239,-0.251806
19,2002,9.59,2672897909,383105.89,237,-0.134091
19,2003,6.2,1148092057,247680.56,240,-0.353493
19,2004,5.56,1133911334,222113.53,242,-0.103226
19,2005,4.68,998073119.8,186958.87,242,-0.158273
19,2006,5.5,1681783611,303150.65,216,0.621795
19,2007,21.19,5337849170,1553676.36,133,2.852727
19,2008,5.09,4510236412,373204.94,244,-0.759792
19,2009,10.43,8210582120,764740.18,241,1.049116
19,2010,10.69,9759161020,1509783.35,218,0.024928
19,2011,7.72,7790225737,1090320.62,222,-0.27783
19,2012,8.42,4146375769,1706965.49,220,0.090674
19,2013,7.59,3853699898,1538701.67,228,-0.073709
19,2014,7.69,6083563086,1939820.71,245,0.21581
19,2015,17.05,45030192008,4298331.31,244,1.217165
19,2016,16.19,1.31316E+11,6122285.98,244,0.42434
19,2017,12.15,31219052878,5053969.6,155,-0.171501
19,2018,7.14,21620834291,2969916.1,175,-0.412346
19,2019,6.08,12057839437,2530595.75,244,-0.136682
19,2020,7.5,44189915454,3121386.24,243,0.264781
19,2021,6.96,12297604696,2896646.43,243,-0.04758
19,2022,7.51,35395034928,3125548.09,242,0.113125
19,2023,7.54,12249144611,3138271.71,242,0.03852
20,2000,21.64,4887345301,1078648.51,236,2.009736
20,2001,17.63,2284084957,991503.5,233,-0.185305
20,2002,8.83,2295370789,496595.34,235,-0.499149
20,2003,5.85,3124933656,329001.44,240,-0.337486
20,2004,2.99,2176669415,168156.29,237,-0.488889
20,2005,2.88,621507022.9,161969.94,239,-0.036789
20,2006,3.75,691383481.3,210898.36,185,0.302083
20,2007,7.49,4213752012,484157.34,153,1.296933
20,2008,2.4,1335483385,155221.19,195,-0.679573
20,2009,11.02,8455784486,712723.98,238,3.591667
20,2010,9.42,12327101383,609243.18,239,-0.145191
20,2011,5.27,3333195382,340839.87,240,-0.440552
20,2012,6.22,4498395134,402281.59,241,0.180266
20,2013,6.55,2701548468,423624.51,238,0.053055
20,2014,8.03,2489847617,519344.24,103,0.225954
20,2015,29.92,37315314258,5420468.5,179,2.726028
20,2016,22.39,29221065243,4056293.1,229,-0.251671
20,2017,14.15,7814221315,2563490.28,177,-0.368021
20,2018,10.46,11102511444,1894989.99,243,-0.260777
20,2019,10.67,5353035475,1933034.72,244,0.020077
20,2020,9.99,6839381144,1809842.26,243,-0.06373
20,2021,9.16,3485749256,1659474.98,243,-0.083083
20,2022,8.93,8350686995,1617806.94,242,-0.025109
20,2023,12.95,9672063331,2346091.81,242,0.450168
21,2000,20.19,17246046229,4049752.62,238,-0.220817
21,2001,11.74,2106567084,2354833.87,238,-0.41683
21,2002,10.13,5142666269,2031896.68,236,-0.133666
21,2003,10.88,8200790713,2182333.26,240,0.081826
21,2004,9.34,6260312064,1873436.82,240,-0.134397
21,2005,8,3729271925,1604656.81,236,-0.126784
21,2006,8.33,8591746024,2596278.83,200,0.65135
21,2007,16.79,49741579348,6168305.55,235,1.060372
21,2008,4.14,13085341067,1526198.37,242,-0.740764
21,2009,12.89,34184418831,11325108.07,239,2.155944
21,2010,11.74,62994712074,15472083.25,239,0.382467
21,2011,5.13,16152605327,6760799.58,240,-0.554629
21,2012,4.71,7253592965,6206992.39,241,-0.064932
21,2013,5.28,15326210615,6958157.08,237,0.125132
21,2014,7.18,29727562301,10553267.12,244,0.371591
21,2015,12.06,1.2866E+11,17725961.21,225,0.684284
21,2016,9.43,60850524881,13860349.43,244,-0.21352
21,2017,9.73,28959317464,14296005.02,243,0.037868
21,2018,5.75,37602596437,8448630.62,243,-0.404561
