danjia,area,floor,hall,room,school,chaoxiang,year,subway,district,city
100575,174,中层,5,2,1,南北向,2010,0,南山,深圳
81002,228,高层,5,2,1,南向,2007,0,南山,深圳
60828,298,高层,5,2,1,南北向,2010,0,龙华,深圳
63509,285,高层,5,2,1,南北向,2010,0,龙华,深圳
58776,245,低层,5,2,1,南向,2009,0,龙华,深圳
44361,133,中层,5,2,1,南向,2014,0,龙华,深圳
65672,335,中层,5,2,0,南北向,2013,0,宝安,深圳
56180,89,高层,5,2,1,南向,2013,0,龙岗,深圳
55118,127,低层,5,2,0,南北向,2007,0,龙岗,深圳
74627,335,高层,5,2,0,其他,2016,0,宝安,深圳
107586,110,高层,5,2,1,南向,2007,0,宝安,深圳
55921,152,高层,5,2,1,其他,2006,0,宝安,深圳
81395,215,中层,5,2,1,南北向,2007,0,龙岗,深圳
94419,191,高层,5,2,1,南北向,2006,0,南山,深圳
52639,135,中层,5,2,1,其他,2006,0,龙岗,深圳
59631,106,高层,5,2,1,其他,2006,0,龙岗,深圳
67944,140,低层,5,2,1,南向,2006,0,龙岗,深圳
61224,245,中层,5,2,0,其他,2002,0,罗湖,深圳
60000,200,高层,5,2,1,南北向,2001,0,南山,深圳
71101,218,高层,5,2,1,其他,2006,0,宝安,深圳
69189,185,高层,5,2,1,其他,2006,0,宝安,深圳
76254,299,高层,5,2,1,南北向,2006,0,罗湖,深圳
55632,174,低层,5,2,1,其他,2014,0,罗湖,深圳
78378,185,中层,5,2,0,南北向,2010,0,宝安,深圳
67766,273,低层,5,2,1,南北向,2016,0,龙华,深圳
51107,270,中层,5,2,1,南向,2016,0,龙华,深圳
57143,245,低层,5,2,1,南北向,2016,0,龙华,深圳
105263,228,低层,5,2,1,南向,2016,0,龙华,深圳
63291,158,高层,5,2,1,南向,2009,0,龙华,深圳
68364,275,高层,5,2,1,其他,2007,0,龙华,深圳
83665,251,低层,5,2,0,南北向,2016,0,宝安,深圳
53071,140,低层,5,2,0,南向,2008,0,宝安,深圳
74627,335,高层,5,2,0,南向,2015,0,宝安,深圳
70175,228,低层,5,2,1,南向,2008,0,宝安,深圳
29722,144,高层,5,2,0,南北向,2014,0,龙岗,深圳
85714,175,高层,5,2,0,其他,2004,0,福田,深圳
40714,140,低层,5,2,0,南北向,2012,0,龙华,深圳
91503,153,高层,5,2,1,南北向,2007,0,南山,深圳
86000,150,中层,5,2,1,其他,2011,0,南山,深圳
74336,226,低层,5,2,0,其他,2015,0,龙华,深圳
43333,180,低层,5,2,0,南北向,2015,0,龙华,深圳
41667,156,低层,5,2,1,南北向,2013,0,龙华,深圳
71429,140,低层,5,2,1,南向,2001,0,南山,深圳
62874,167,中层,5,2,0,南北向,2012,0,龙华,深圳
61786,168,中层,5,2,0,其他,2012,0,龙华,深圳
65409,159,中层,5,2,1,南北向,2013,0,龙华,深圳
56604,212,高层,5,2,1,其他,2001,0,福田,深圳
69180,173,高层,5,2,1,南向,2012,0,龙华,深圳
88000,250,中层,5,2,0,南北向,2016,0,宝安,深圳
36667,150,低层,5,2,1,南北向,2009,0,龙岗,深圳
43750,160,高层,5,2,1,南北向,2012,0,龙岗,深圳
47552,143,低层,5,2,1,南北向,2010,0,龙岗,深圳
43750,160,高层,5,2,1,南北向,2012,0,龙岗,深圳
43750,160,高层,5,2,1,南北向,2012,0,龙岗,深圳
40278,144,低层,5,2,1,南北向,2012,0,龙岗,深圳
44211,133,中层,5,2,1,南向,2013,0,龙华,深圳
65672,335,中层,5,2,0,其他,2016,0,宝安,深圳
91200,250,低层,5,2,0,其他,2016,0,宝安,深圳
48276,145,中层,5,2,1,南向,2010,0,龙岗,深圳
46701,214,低层,5,2,1,南北向,2010,0,龙岗,深圳
39583,144,低层,5,2,1,南北向,2012,0,龙岗,深圳
51071,84,中层,5,2,1,南北向,2015,0,龙岗,深圳
93333,180,低层,5,2,0,其他,2017,0,宝安,深圳
102809,89,中层,5,2,1,南向,2014,0,龙华,深圳
75524,143,中层,5,2,1,南向,2014,0,龙华,深圳
109510,208,低层,5,2,0,南向,2003,0,罗湖,深圳
77143,350,中层,5,2,0,南北向,2016,0,宝安,深圳
61930,153,高层,5,2,1,其他,2009,0,思明,厦门
89766,385,高层,5,2,1,南北向,2016,0,湖里,厦门
39062,192,低层,5,2,1,南北向,2011,0,岛外,厦门
55944,286,高层,5,2,1,南北向,2013,0,湖里,厦门
61930,153,高层,5,2,1,其他,2009,0,思明,厦门
79513,247,中层,5,2,1,南北向,2013,0,湖里,厦门
36429,126,低层,5,2,0,南北向,2015,0,岛外,厦门
68627,204,低层,5,2,0,南北向,2005,0,思明,厦门
89766,385,高层,5,2,1,南北向,2016,0,湖里,厦门
89766,385,中层,5,2,1,南北向,2016,0,湖里,厦门
61706,276,高层,5,2,0,南向,2008,0,思明,厦门
